City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,usinsk,65.9939,57.5281,-1.92,93,69,5.01,RU,1747521398
307,la'ie,21.6477,-157.9253,28.36,71,34,1.79,US,1747521399
308,hafar al-batin,28.4328,45.9708,25.93,15,0,5.22,SA,1747521400
309,chisec,15.8167,-90.2833,35.68,31,1,1.09,GT,1747521401
310,deqen,29.9618,90.7188,2.39,92,100,0.98,CN,1747521403
311,okha,53.5739,142.9478,1.95,89,100,10.67,RU,1747521404
312,sinop,41.7711,34.8709,12.23,96,59,1.08,TR,1747521405
313,yung shue wan,22.2333,114.1167,28.62,85,70,2.04,HK,1747521407
314,kafue,-15.7691,28.1814,14.42,82,0,1.53,ZM,1747521408
315,mutoko,-17.397,32.2268,13.47,78,2,0.92,ZW,1747521409
316,la passe,45.5549,-0.8967,11.15,81,0,4.7,FR,1747521410
317,huanta,-12.9333,-74.25,18.83,52,33,3.36,PE,1747521411
318,shantobe,52.4581,68.1839,12.01,71,100,7.12,KZ,1747521412
319,ar ruways,24.1103,52.7306,27.48,48,52,5.69,AE,1747521413
320,tsetserleg,47.475,101.4542,6.62,75,100,2.13,MN,1747520978
321,goundi,9.3627,17.366,26.53,69,92,3.5,TD,1747521415
322,broken hill,-31.95,141.4333,8.39,65,20,8.71,AU,1747521416
323,crane,31.3974,-102.3501,34.07,15,74,6.1,US,1747521418
324,jaisalmer,26.9147,70.9181,29.81,47,0,7.26,IN,1747521419
325,luanda,-8.8368,13.2343,24.63,90,2,3.13,AO,1747521269
326,el nido,11.1858,119.3956,26.75,88,100,0.89,PH,1747521421
327,pingzhuang,42.0372,119.2889,11.53,37,12,4.38,CN,1747521422
328,kolobrzeg,54.1757,15.5834,7.75,88,97,10.59,PL,1747521423
329,wermelskirchen,51.15,7.2167,10.06,85,5,1.51,DE,1747521424
330,dharchula,29.85,80.5333,13.75,51,8,2.67,IN,1747521425
331,tulun,54.5611,100.5792,5.51,53,100,1.25,RU,1747521426
332,walvis bay,-22.9575,14.5053,21.33,61,28,2.79,NA,1747521427
333,doctor juan leon mallorquin,-25.4,-55.2667,20.85,75,100,2.18,PY,1747521428
334,machico,32.7,-16.7667,15.97,74,49,5.04,PT,1747521429
335,kapa'a,22.0752,-159.319,26.93,81,49,2.24,US,1747521430
336,mantua,45.1667,10.7833,14.53,80,18,3.81,IT,1747521432
337,laojunmiao,39.8333,97.7333,17.21,22,4,5.59,CN,1747521434
338,chakari,-18.0629,29.8925,14.17,65,0,2.16,ZW,1747521435
339,iowa falls,42.5225,-93.2513,18.29,48,53,7.23,US,1747521436
340,oeiras do para,-2.0031,-49.8544,24.27,96,86,1.56,BR,1747521437
341,yarmouth,41.7057,-70.2286,17.88,86,100,1.34,US,1747521153
342,ponta delgada,37.7333,-25.6667,18.44,7,49,3.94,PT,1747521298
343,sandnessjoen,66.0217,12.6316,4.12,86,1,3.37,NO,1747521440
344,thunder bay,48.4001,-89.3168,5.1,89,100,5.18,CA,1747521362
345,alcaniz,41.05,-0.1333,16.84,68,100,2.1,ES,1747521442
346,san patricio,28.017,-97.5169,31.64,73,33,9.19,US,1747521443
347,akureyri,65.6835,-18.0878,18.49,47,0,1.17,IS,1747521444
348,cill airne,52.05,-9.5167,10.44,92,4,1.91,IE,1747521445
349,tateyama,34.9833,139.8667,21.61,93,92,10.63,JP,1747521446
350,severo-yeniseyskiy,60.3725,93.0408,3.33,79,99,1.4,RU,1747521449
351,cadale,2.7603,46.3222,26.78,84,98,5.88,SO,1747521450
352,alamosa,37.4695,-105.87,18.33,16,100,10.01,US,1747521452
353,torquay,50.4638,-3.5143,9.84,82,0,2.31,GB,1747521454
354,rawlins,41.7911,-107.2387,17.42,29,90,9.11,US,1747521455
355,colonia,50.9333,6.95,13.03,72,7,2.94,DE,1747521234
356,annan,54.9884,-3.2565,11.62,84,23,2.31,GB,1747521457
357,port augusta,-32.5,137.7667,10.75,57,2,4.13,AU,1747521458
358,mazara del vallo,37.6641,12.588,17.74,93,0,2.81,IT,1747521459
359,palikir - national government center,6.9248,158.1611,28.3,82,100,1.79,FM,1747521460
360,sorong,-0.8833,131.25,26.6,87,100,2.8,ID,1747521461
361,metlili chaamba,32.2667,3.6333,23.52,24,93,5.69,DZ,1747521463
362,chikmagalur,13.3167,75.7833,20.04,94,97,1.1,IN,1747521464
363,usogorsk,63.4106,48.6872,2.41,99,100,2.13,RU,1747521465
